종목코드,종목명,예측일,예측가격
007110,일신석재,2025-06-06 00:00:00,2168.5126953125
007110,일신석재,2025-06-07 00:00:00,2182.26416015625
007110,일신석재,2025-06-08 00:00:00,2190.051513671875
007110,일신석재,2025-06-09 00:00:00,2193.720947265625
007110,일신석재,2025-06-10 00:00:00,2194.677978515625
033340,좋은사람들,2025-06-06 00:00:00,890.0241088867188
033340,좋은사람들,2025-06-07 00:00:00,908.9151611328125
033340,좋은사람들,2025-06-08 00:00:00,923.1229248046875
033340,좋은사람들,2025-06-09 00:00:00,934.0671997070312
033340,좋은사람들,2025-06-10 00:00:00,942.7988891601562
009270,신원,2025-06-06 00:00:00,1785.0693359375
009270,신원,2025-06-07 00:00:00,1787.0460205078125
009270,신원,2025-06-08 00:00:00,1786.7076416015625
009270,신원,2025-06-09 00:00:00,1784.835205078125
009270,신원,2025-06-10 00:00:00,1781.9844970703125
054180,메디콕스,2025-06-06 00:00:00,245.80422973632812
054180,메디콕스,2025-06-07 00:00:00,246.19976806640625
054180,메디콕스,2025-06-08 00:00:00,247.65118408203125
054180,메디콕스,2025-06-09 00:00:00,249.85516357421875
054180,메디콕스,2025-06-10 00:00:00,252.57955932617188
005930,삼성전자,2025-06-06 00:00:00,57236.85546875
005930,삼성전자,2025-06-07 00:00:00,57506.9609375
005930,삼성전자,2025-06-08 00:00:00,57757.84375
005930,삼성전자,2025-06-09 00:00:00,57994.890625
005930,삼성전자,2025-06-10 00:00:00,58222.58203125
034020,두산에너빌리티,2025-06-06 00:00:00,40897.39453125
034020,두산에너빌리티,2025-06-07 00:00:00,41156.90234375
034020,두산에너빌리티,2025-06-08 00:00:00,41270.1171875
034020,두산에너빌리티,2025-06-09 00:00:00,41283.37109375
034020,두산에너빌리티,2025-06-10 00:00:00,41229.78125
032820,우리기술,2025-06-06 00:00:00,2287.04736328125
032820,우리기술,2025-06-07 00:00:00,2293.960205078125
032820,우리기술,2025-06-08 00:00:00,2300.895751953125
032820,우리기술,2025-06-09 00:00:00,2307.8046875
032820,우리기술,2025-06-10 00:00:00,2314.638671875
089150,케이씨티,2025-06-06 00:00:00,3397.105712890625
089150,케이씨티,2025-06-07 00:00:00,3439.6455078125
089150,케이씨티,2025-06-08 00:00:00,3466.0927734375
089150,케이씨티,2025-06-09 00:00:00,3481.521240234375
089150,케이씨티,2025-06-10 00:00:00,3489.48876953125
053580,웹케시,2025-06-06 00:00:00,16266.3623046875
053580,웹케시,2025-06-07 00:00:00,16706.46875
053580,웹케시,2025-06-08 00:00:00,16998.107421875
053580,웹케시,2025-06-09 00:00:00,17188.052734375
053580,웹케시,2025-06-10 00:00:00,17310.0625
