종목코드,종목명,예측일,예측가격
007110,일신석재,2025-06-14 00:00:00,2487.698974609375
007110,일신석재,2025-06-15 00:00:00,2513.128662109375
007110,일신석재,2025-06-16 00:00:00,2526.666259765625
007110,일신석재,2025-06-17 00:00:00,2533.077392578125
007110,일신석재,2025-06-18 00:00:00,2535.23779296875
033340,좋은사람들,2025-06-14 00:00:00,1121.5386962890625
033340,좋은사람들,2025-06-15 00:00:00,1147.59228515625
033340,좋은사람들,2025-06-16 00:00:00,1163.850341796875
033340,좋은사람들,2025-06-17 00:00:00,1174.16552734375
033340,좋은사람들,2025-06-18 00:00:00,1180.882080078125
009270,신원,2025-06-14 00:00:00,1826.6392822265625
009270,신원,2025-06-15 00:00:00,1829.1915283203125
009270,신원,2025-06-16 00:00:00,1830.0076904296875
009270,신원,2025-06-17 00:00:00,1829.7891845703125
009270,신원,2025-06-18 00:00:00,1828.9627685546875
054180,메디콕스,2025-06-14 00:00:00,234.81834411621094
054180,메디콕스,2025-06-15 00:00:00,235.22705078125
054180,메디콕스,2025-06-16 00:00:00,237.23106384277344
054180,메디콕스,2025-06-17 00:00:00,240.2195587158203
054180,메디콕스,2025-06-18 00:00:00,243.80714416503906
005930,삼성전자,2025-06-14 00:00:00,59679.6171875
005930,삼성전자,2025-06-15 00:00:00,59937.33203125
005930,삼성전자,2025-06-16 00:00:00,60188.38671875
005930,삼성전자,2025-06-17 00:00:00,60434.71875
005930,삼성전자,2025-06-18 00:00:00,60677.484375
003280,흥아해운,2025-06-14 00:00:00,1707.64306640625
003280,흥아해운,2025-06-15 00:00:00,1732.0330810546875
003280,흥아해운,2025-06-16 00:00:00,1751.1427001953125
003280,흥아해운,2025-06-17 00:00:00,1766.9073486328125
003280,흥아해운,2025-06-18 00:00:00,1780.55615234375
152550,한국ANKOR유전,2025-06-14 00:00:00,262.29205322265625
152550,한국ANKOR유전,2025-06-15 00:00:00,266.39654541015625
152550,한국ANKOR유전,2025-06-16 00:00:00,269.7452087402344
152550,한국ANKOR유전,2025-06-17 00:00:00,272.6100158691406
152550,한국ANKOR유전,2025-06-18 00:00:00,275.1656188964844
032820,우리기술,2025-06-14 00:00:00,2398.78369140625
032820,우리기술,2025-06-15 00:00:00,2427.796630859375
032820,우리기술,2025-06-16 00:00:00,2447.2275390625
032820,우리기술,2025-06-17 00:00:00,2460.77197265625
032820,우리기술,2025-06-18 00:00:00,2470.711669921875
024740,한일단조,2025-06-14 00:00:00,2224.863037109375
024740,한일단조,2025-06-15 00:00:00,2248.67724609375
024740,한일단조,2025-06-16 00:00:00,2268.295654296875
024740,한일단조,2025-06-17 00:00:00,2285.23828125
024740,한일단조,2025-06-18 00:00:00,2300.474365234375
053050,지에스이,2025-06-14 00:00:00,2950.007080078125
053050,지에스이,2025-06-15 00:00:00,2985.65966796875
053050,지에스이,2025-06-16 00:00:00,3014.5439453125
053050,지에스이,2025-06-17 00:00:00,3039.11474609375
053050,지에스이,2025-06-18 00:00:00,3060.9375
005880,대한해운,2025-06-14 00:00:00,1671.623291015625
005880,대한해운,2025-06-15 00:00:00,1684.3553466796875
005880,대한해운,2025-06-16 00:00:00,1696.1905517578125
005880,대한해운,2025-06-17 00:00:00,1707.4306640625
005880,대한해운,2025-06-18 00:00:00,1718.2691650390625
002360,SH에너지화학,2025-06-14 00:00:00,457.9078674316406
002360,SH에너지화학,2025-06-15 00:00:00,461.92071533203125
002360,SH에너지화학,2025-06-16 00:00:00,464.8827209472656
002360,SH에너지화학,2025-06-17 00:00:00,467.1830749511719
002360,SH에너지화학,2025-06-18 00:00:00,469.0680847167969
158430,아톤,2025-06-14 00:00:00,6960.67822265625
158430,아톤,2025-06-15 00:00:00,7124.068359375
158430,아톤,2025-06-16 00:00:00,7225.13525390625
158430,아톤,2025-06-17 00:00:00,7288.38037109375
158430,아톤,2025-06-18 00:00:00,7328.73828125
066790,씨씨에스,2025-06-14 00:00:00,1535.2020263671875
066790,씨씨에스,2025-06-15 00:00:00,1551.0533447265625
066790,씨씨에스,2025-06-16 00:00:00,1565.753173828125
066790,씨씨에스,2025-06-17 00:00:00,1579.6806640625
066790,씨씨에스,2025-06-18 00:00:00,1593.0843505859375
